ID,Database,Location, Bridge Type, Bridge Type Description,Center Latitude,Center Longitude,Center Elevation (m),Inundation Flag (Center),Culvert,
392,NBI,'3.41 S JCT SR 6',1,Slab,46.62399153,-123.684171,57,0,0,
393,NBI,'1.0 S GRAY HAR. CO.',22,Channel Beam ,46.7783246,-123.7335095,48.5,0,0,
394,NBI,'1.2 MILES E. SR 105',5,Box Beam or Girders - Multiple,46.69436155,-123.7120548,3.5,1,0,
395,NBI,'00.2 NW JCT 7365',2,Stringer/Multi-beam or Girder,47.22411152,-123.513067,88.7,0,0,
396,NBI,'7.1 N JCT 4 AND 101',2,Stringer/Multi-beam or Girder,46.52028619,-123.879319,4.1,1,0,
397,NBI,'2.1 S JCT SR 6 AND SR 101',2,Stringer/Multi-beam or Girder,46.65873416,-123.730621,3.3,1,0,
398,NBI,'LAKE SYLVIA STATE PARK',2,Stringer/Multi-beam or Girder,46.99647421,-123.5939851,38.3,0,0,
399,NBI,'00.5 E PACIFIC BEACH',1,Slab,47.20883406,-124.1887373,2.8,1,0,
400,NBI,'0.12 E JCT 9725',1,Slab,47.00970688,-123.5145416,14.1,1,0,
401,NBI,'0.25 E JCT US 101',4,Tee Beam,46.88833166,-123.7110155,26.9,1,0,
402,NBI,'0.34 MI. W. OF 9641',19,Culvert (inlcudes frame culverts),46.99637685,-123.4116401,8.7,1,1,
403,NBI,'0.15 N HOWANUT RD',19,Culvert (inlcudes frame culverts),46.81749173,-123.1605422,31.4,0,1,
404,NBI,'1.9 SW JCT 95190',19,Culvert (inlcudes frame culverts),47.00425248,-123.6861062,17,1,1,
405,NBI,'0.4 E JCT 94311',2,Stringer/Multi-beam or Girder,47.04840231,-123.7793509,2.8,1,0,
406,NBI,'WEST WYNOOCHEE AVE',2,Stringer/Multi-beam or Girder,46.97656698,-123.6138144,4.3,1,0,
407,NBI,'7.6 N JCT 4 & 101',4,Tee Beam,46.51671656,-123.8730301,3.3,1,0,
