ID,Latitude,Longitude,Structure Number,Location,Flagged for Inundation
396,46.65872,-123.73061,8.6439E+13,'2.1 S JCT SR 6 AND SR 101',0
397,46.99632,-123.59374,8.6471E+13,'LAKE SYLVIA STATE PARK',0
398,47.20883,-124.18875,8.6505E+13,'00.5 E PACIFIC BEACH',1
399,47.00972,-123.51451,8.6633E+13,'0.12 E JCT 9725',0
400,46.88833,-123.71101,8.6634E+13,'0.25 E JCT US 101',0
401,46.99639,-123.41167,8.7166E+13,'0.34 MI. W. OF 9641',0
402,46.8175,-123.16056,8.7167E+13,'0.15 N HOWANUT RD',0
403,47.00431,-123.68611,8.7168E+13,'1.9 SW JCT 95190',0
404,47.04889,-123.78056,8.7204E+13,'0.4 E JCT 94311',0
405,46.97658,-123.61381,8.7237E+13,'WEST WYNOOCHEE AVE',0
406,46.51672,-123.87303,8.729E+13,'7.6 N JCT 4 & 101',1
407,46.98467,-124.15656,8.7515E+13,'0.1 E POINT BROWN AVE',1
408,46.98528,-124.14994,8.7516E+13,'0.3 E POINT BROWN AVE',1
409,47.05083,-123.96278,8.7517E+13,'1.83 W JCT US 101',1
410,47.17528,-123.51261,8.7518E+13,'0.2 NW JCT 7365',0
411,47.05453,-123.95592,8.7519E+13,'1.4 W JCT US 101',1
412,47.05645,-123.94372,8.752E+13,'0.8 W JCT US 101',1
413,46.79875,-123.35294,8.7521E+13,'3.2 W JCT 6888',0
414,46.94308,-123.35075,8.7522E+13,'1.9 NW JCT SR 12',0
415,46.80889,-123.27222,8.7781E+13,'0.2 SE JCT GARRARD CR RD',0
416,47.02667,-123.525,8.7968E+13,'2.2 N JCU 9710',0
417,47.24656,-123.61222,8.7969E+13,'23.4 MILES N. SR12',0
418,47.25792,-123.61486,8.797E+13,'24.23 MILES N. SR12',0
419,47.27011,-123.61931,8.7971E+13,'25.2 MILES N. SR12',0
420,47.2775,-123.62889,8.7972E+13,'26.0 MILES N. SR12',0
421,47.31389,-123.62917,8.7973E+13,'28.4 MILES N. SR12',0
422,46.80434,-123.2878,8.8149E+13,'O.1 MI S OF GARRARD CR RD',0
423,46.81624,-124.09183,8.815E+13,'SCHMID ROAD MP 0.5',1
424,46.93931,-123.32167,8.8225E+13,'0.5 W JCT SR 12',0
425,47.49,-123.81778,8.833E+13,'4.7 NE JCT SR101',1
426,47.04472,-123.65222,8.8339E+13,'03.9 NE JCT 9519',0
427,46.83417,-123.26417,8.834E+13,'0.4 N GARRARD CREEK RD',0
428,46.80611,-123.33028,8.8341E+13,'0.03 N WILDERNESS ROAD',0
429,47.47306,-123.83806,8.8342E+13,'2.8 NE OF JCT SR 101',1
430,46.95145,-124.14667,8.8389E+13,'00.1 N MARINE DRIVE',1
431,47.21542,-123.70824,8.8461E+13,'8.4 N Wishkah School',0
432,47.37042,-123.59994,8.8462E+13,'33.1 MILES N. SR12',0
433,47.07194,-124.04944,8.8483E+13,'0.0 W JCT 9423',1
434,46.83333,-123.23306,8.8484E+13,'0.5 SW JCT SR 12',0
435,46.81164,-124.09197,8.857E+13,'0.1 N JCT CR 1098',1
436,46.83,-123.25,8.8571E+13,'1.4 SW JCT SR 12',0
437,47.05944,-124.00389,8.8695E+13,'4.6 NW JCT US 101',1
438,47.12111,-124.15194,8.8696E+13,'0.2 N of Copalis Bch Rd',1
439,46.66425,-123.77786,8.8736E+13,'0.5 SE SR101 INTERSECTION',0
440,46.96361,-123.56389,8.8789E+13,'2.2 MILES E JCT SR 107',0
441,46.94617,-123.29493,8.8843E+13,'0.01 MI S JCT 84500',0
442,46.93167,-123.42667,8.8844E+13,'4.4 SW JCT SOUTH BANK RD',0
443,46.81194,-123.25222,8.8845E+13,'0.3 SE JCT GARRARD CRK RD',0
444,47.17083,-123.875,8.887E+13,'0.7 MI NE JCT US101',1
445,46.86917,-123.95028,8.8871E+13,'3.9 MI E JCT SR105',1
446,46.86583,-123.94378,8.8872E+13,'4.3 MI E JCT SR105',1
447,46.85842,-123.93167,8.8873E+13,'5.1 MI E JCT SR105',1
448,47.04319,-123.24917,8.8876E+13,'0.12 SE JCT 86290',0
449,46.974,-123.38917,8.8953E+13,'0.03 N JCT 96412',0
450,46.93175,-123.32694,8.8954E+13,'0.53 S JCT 96540',0
451,46.94403,-123.35161,8.8955E+13,'1.3 W JCT 96540',0
452,46.97469,-123.39244,8.8956E+13,'4.2 E JCT 96540',0
453,47.06289,-123.50107,8.8957E+13,'5.28 N JCT 97100',0
454,46.60948,-123.67766,8.8958E+13,'1.99 SE JCT SR 6',0
455,46.58681,-123.63192,8.8959E+13,'0.11 N JCT OXBOW RD',0
456,47.16483,-123.87662,8.8996E+13,'0.3 NE JCT SR 101',1
457,46.95986,-124.15783,8.9014E+13,'0.35 W PT BROWN AVE',1
458,47.03641,-123.28312,8.9036E+13,'0.9 W JCT MOX CHEHALIS RD',0
459,47.03413,-123.28533,8.9037E+13,'1.1 W JCT MOX CHEHALIS RD',0
460,47.02721,-123.29184,8.9038E+13,'1.7 W JCT MOX CHEHALIS RD',0
461,47.02269,-123.29799,8.9039E+13,'2.2 W JCT MOX CHEHALIS RD',0
462,47.01549,-123.30833,8.904E+13,'2.8 W JCT MOX CHEHALIS RD',0
463,47.03409,-123.26215,8.9041E+13,'7.9 NE JCT SR12',0
464,46.83285,-123.58911,8.9088E+13,'8.7 E JCT US 101',0
465,47.03972,-123.35173,8.9124E+13,'0.81 NE JCT 78150',0
466,47.04047,-123.35039,8.9125E+13,'0.89 NE JCT 78150',0
467,47.14543,-123.82569,8.9182E+13,'2.3 N JCT HOQ-WISHKAH RD',1
468,47.00227,-123.67614,8.9199E+13,'2.5 N. JCT US12',0
469,46.60722,-123.67236,8.9254E+13,'1.7 SE JCT SR6',0
470,47.07387,-123.30099,8.9296E+13,'0.4 N JCT ELMA HICKLIN RD',0
471,47.00569,-123.66691,8.9333E+13,'0.9 W JCT 95190',0
472,47.00558,-123.66824,8.9334E+13,'1.0 W JCT 95190',0
473,46.98009,-123.56479,8.948E+13,'0.2 S JCT 62920',0
474,47.07779,-123.26721,8.9481E+13,'0.1 S JCT 79740',0
475,47.08056,-123.26281,8.9482E+13,'0.5 W JCT SR 108',0
