%Lon   Lat   NEOWAVE_non_dispersive(15-arc-sec)   NEOWAVE_dispersive(15-arc-sec)    MOST(15-arc-sec)   MOST(30-arc-sec)
-124.693000 44.252000 3.455720 2.870200 3.155706 2.568075
-124.460000 44.251000 3.104655 2.728617 2.811973 2.617032
-124.619000 44.247000 3.369616 2.952010 3.073419 2.425767
-124.680000 44.243000 3.514971 2.916320 3.151083 2.546855
-124.629000 44.240000 3.402066 2.936169 3.062380 2.396749
-124.667000 44.239000 3.465489 2.893976 3.092143 2.505886
-124.647000 44.238000 3.412420 2.914097 3.065768 2.459702
-124.453000 44.233000 3.134478 2.646530 2.696746 2.621122
-124.447000 44.227000 3.072845 2.571656 2.615567 2.597397
-124.487000 44.221000 3.021077 2.584964 2.592327 2.502496
-124.473000 44.220000 3.014132 2.569643 2.592750 2.499630
-124.453000 44.220000 3.021505 2.537851 2.580301 2.564399
-124.481000 44.213000 2.863398 2.479964 2.495495 2.484804
-124.473000 44.205000 2.689454 2.398851 2.413702 2.468464
-124.460000 44.194000 2.469036 2.430221 2.449516 2.452053
-124.450000 44.187000 2.415221 2.415981 2.441426 2.438925
-124.440000 44.179000 2.389627 2.394393 2.421811 2.396609
-124.429000 44.167000 2.657353 2.344429 2.397220 2.338589
-124.420000 44.160000 2.641034 2.279205 2.344132 2.269403
-124.406000 44.153000 2.545435 2.243307 2.321733 2.177537
-124.394000 44.140000 3.294174 2.663770 2.957070 2.073024
-124.387000 44.127000 2.995622 2.605573 2.911289 1.805318
-124.388700 44.107100 2.206572 2.008860 2.224887 1.558775
-124.367400 44.069100 1.747983 1.525099 2.029426 2.066552
-124.345000 44.035500 1.759375 1.486397 2.567932 2.213020
-124.323200 44.003100 1.949602 1.616609 3.137961 2.396485
-124.317000 43.980000 1.997924 1.607076 2.783533 2.584434
-124.310000 43.967000 1.955833 1.564158 2.624218 2.686844
-124.300000 43.954000 1.902334 1.521976 2.927048 2.531756
-124.293000 43.945000 1.868012 1.478698 2.737976 2.348097
-124.288000 43.927000 1.737952 1.354564 2.263182 2.320477
-124.284000 43.913000 1.646475 1.284156 2.340061 2.129516
-124.280000 43.900000 1.548786 1.197082 2.360432 2.024317
-124.279000 43.880000 1.440638 1.152900 2.351599 2.013570
-124.273000 43.867000 1.305798 1.140064 2.073699 1.947579
-124.280000 43.855000 1.228004 1.138618 2.032849 2.106643
-124.289000 43.847000 1.186515 1.130661 2.199281 2.241342
-124.291000 43.827000 1.138843 1.110550 2.921677 2.619713
-124.293000 43.811000 1.181169 1.180609 2.628447 2.381666
-124.300000 43.795000 1.290187 1.290027 2.880554 2.196170
-124.300000 43.785000 1.369223 1.368655 2.803939 1.889215
-124.293000 43.773000 1.368274 1.367657 2.228474 1.753604
-124.300000 43.760000 1.475492 1.475359 1.872225 1.422814
-124.306000 43.747000 1.511724 1.511732 1.964300 1.559026
-124.300000 43.733000 1.497848 1.497907 2.220442 1.526804
-124.302000 43.720000 1.511215 1.511145 2.241255 1.573158
-124.300000 43.706000 1.521643 1.521064 2.046774 1.563760
-124.300000 43.688000 1.516666 1.516749 2.001332 1.581493
-124.300000 43.673000 1.519183 1.518891 2.098149 1.693940
-124.303000 43.653000 1.628598 1.519967 2.209957 1.851355
-124.307000 43.640000 1.724277 1.490638 2.202169 1.884747
-124.313000 43.622000 1.759601 1.566571 2.021836 1.892221
-124.317000 43.607000 1.747911 1.622736 1.913529 1.867234
-124.320000 43.593000 1.731969 1.643099 1.925053 1.956510
-124.327000 43.577000 1.733680 1.713904 2.144847 1.915692
-124.330000 43.560000 1.875122 1.844515 2.249021 1.778989
-124.337000 43.547000 1.959214 1.939308 2.472469 1.808708
-124.347000 43.537000 2.006967 2.002802 2.435165 1.944400
-124.354000 43.527000 2.056976 2.044055 2.175480 1.977770
-124.360000 43.507000 2.276286 2.118803 2.326184 2.061805
-124.367000 43.498000 2.396207 2.147575 2.457805 2.217458
-124.377000 43.487000 2.575638 2.198344 2.434597 2.416329
-124.387000 43.475000 2.688386 2.246270 2.743021 2.458763
-124.409000 43.453000 2.710845 2.259466 2.544778 2.569872
-124.420000 43.445000 2.578960 2.218237 2.484187 2.572085
-124.428000 43.433000 2.485190 2.199304 2.504895 2.563987
-124.435000 43.420000 2.489766 2.163275 2.526633 2.570952
-124.440000 43.406000 2.515361 2.113938 2.541092 2.443265
-124.453000 43.394000 2.488059 2.105560 2.570616 2.388215
-124.461000 43.387000 2.500863 2.071568 2.559131 2.292392
-124.469000 43.373000 2.380865 1.978933 2.565270 2.141486
-124.480000 43.364000 2.325151 1.911077 2.498702 2.027369
-124.487000 43.352000 2.168045 1.814683 2.401920 2.115517
-124.498000 43.340000 2.075134 1.700418 2.323174 2.060287
-124.507000 43.330000 2.049814 1.593016 2.344164 2.024300
-124.513000 43.315000 2.064964 1.543541 2.304733 2.008971
-124.520000 43.307000 2.031983 1.506090 2.150180 2.022800
-124.527000 43.293000 2.215290 1.560154 2.001858 1.910686
-124.540000 43.286000 2.231497 1.533627 1.798432 1.677939
-124.553000 43.276000 2.035696 1.533285 1.965393 1.580675
-124.562000 43.267000 1.895509 1.488565 2.127310 1.816155
-124.572000 43.253000 1.554781 1.352656 2.095848 1.893546
-124.580000 43.245000 1.582222 1.264208 1.932815 1.747802
-124.587000 43.233000 1.651233 1.215906 1.925726 1.767172
-124.593000 43.216000 1.596673 1.315213 2.049803 1.807784
-124.593000 43.205000 1.597276 1.276156 2.077929 1.950414
-124.586000 43.193000 1.789574 1.399951 2.187181 2.143627
-124.576000 43.180000 1.564465 1.511634 2.396519 2.282039
-124.573000 43.166000 1.904235 1.610194 2.467408 2.246993
-124.576000 43.153000 2.006295 1.627538 2.777791 2.272329
-124.573000 43.138000 2.430358 1.699396 2.941113 2.327698
-124.572000 43.120000 2.143939 1.818414 3.046335 2.265164
-124.575000 43.107000 2.269259 1.856926 2.721030 2.314124
-124.572000 43.093000 2.190569 1.934051 2.783842 2.493847
-124.568000 43.073000 2.484384 2.012153 2.428523 2.197750
-124.567000 43.066000 2.505674 2.029879 2.398253 1.948853
-124.573000 43.049000 2.202387 2.044494 2.066590 1.962160
-124.576000 43.033000 2.158653 2.204292 1.938952 2.052662
-124.581000 43.020000 2.120496 2.188241 2.077038 1.866526
-124.587000 43.007000 2.470530 2.170493 2.175977 1.899402
-124.596000 42.993000 2.593962 2.088335 2.064545 2.009377
-124.610000 42.987000 2.145053 2.045334 1.897407 1.990995
-124.620000 42.979000 2.070454 1.940218 1.938898 1.980747
-124.627000 42.967000 2.371292 1.786741 2.160592 1.945342
-124.640000 42.958000 2.014335 1.771833 2.391289 1.916292
